ra dec
53.05783466616218 -27.86502441922414
53.059832711402706 -27.822528732890632
53.09332163705661 -27.891914304191776
53.045626061948596 -27.762158222706724
53.031028290487406 -27.845597715966314
53.102893015848 -27.860084282817187
53.061090028729794 -27.797366644589996
53.03540738905774 -27.857321738137998
53.024312714818194 -27.796522934221848
53.04508574605301 -27.85238932485198
53.07862469545736 -27.85105694246561
53.032027236210304 -27.776975242368867
53.07180632590576 -27.861871241061177
53.05818806973426 -27.769966105786448
53.097592376395546 -27.850931358444342
53.08306864764912 -27.85856496095051
53.07946050844404 -27.867210991972875
53.05298825255585 -27.770577380854313
53.05608746258081 -27.821036087932995
53.06075334890417 -27.798976490702255
53.10095139505606 -27.76804057607461
53.04944475156156 -27.770979742164936
53.02093486178883 -27.798987765947114
53.08486846918808 -27.783761562526397
53.03191574852659 -27.773379389167964
53.04736721516982 -27.803727312159957
53.05483129260958 -27.804675233398495
53.09201585434355 -27.79549184611343
53.03862297337969 -27.86128870081877
53.023731466107996 -27.784519142895565
53.03351207467576 -27.823195005383585
53.07259066169797 -27.829035479569185
53.05445407752315 -27.87456245654484
53.02241384270215 -27.786208927453735
53.07063049483425 -27.83543506736125
53.08392509321357 -27.80504317303251
53.04314923170866 -27.7854546159185
53.03610794538754 -27.78989307077197
53.081200220069036 -27.86663067595972
53.04360091858216 -27.82776960430089
53.03142694941231 -27.79151272970364
53.02490614619291 -27.806911204946246
53.030666227112796 -27.840023721461293
53.09948784605386 -27.773540451912044
53.07971538361097 -27.808946311030475
53.0604504695032 -27.881253634303246
53.06301915533011 -27.86599339232292
53.09885094295663 -27.787557176162952
53.074070189786084 -27.82115650742378
53.06360583827065 -27.80376504579779
53.07035086848225 -27.828429047333273
53.09418424705791 -27.809423082519483
53.04369721618303 -27.852193463207744
53.0972495214839 -27.810517902528815
53.09388367222292 -27.875533582987917
53.05886968517925 -27.864280482002656
53.02966739205836 -27.78008607057762
53.04034342996854 -27.782609444842045
53.08789071048843 -27.80303147515598
53.07069689970704 -27.884028522961223
53.0391421084998 -27.77340628888919
53.064027139903736 -27.849927845834703
53.06141756881622 -27.87061737205466
