  0.100052E-01  0.156097E+08  0.156001E+08 -0.374583E+04 -0.374725E+04  0.000000E+00  0.156082E+08  0.156082E+08  0.156082E+08 -0.370840E+00  0.824243E+07  0.824234E+07  0.292632E+01
  0.105182E-01  0.153869E+08  0.153764E+08 -0.334095E+04 -0.334221E+04  0.000000E+00  0.153853E+08  0.153853E+08  0.153853E+08 -0.365542E+00  0.812469E+07  0.812460E+07  0.302238E+01
  0.110575E-01  0.151556E+08  0.151441E+08 -0.297753E+04 -0.297866E+04  0.000000E+00  0.151538E+08  0.151538E+08  0.151538E+08 -0.360042E+00  0.800244E+07  0.800234E+07  0.311919E+01
  0.116244E-01  0.149155E+08  0.149030E+08 -0.265147E+04 -0.265248E+04  0.000000E+00  0.149136E+08  0.149136E+08  0.149136E+08 -0.354334E+00  0.787558E+07  0.787547E+07  0.321632E+01
  0.122204E-01  0.146666E+08  0.146529E+08 -0.235908E+04 -0.235997E+04  0.000000E+00  0.146645E+08  0.146645E+08  0.146645E+08 -0.348416E+00  0.774404E+07  0.774392E+07  0.331330E+01
  0.128469E-01  0.144087E+08  0.143938E+08 -0.209702E+04 -0.209781E+04  0.000000E+00  0.144064E+08  0.144064E+08  0.144063E+08 -0.342283E+00  0.760773E+07  0.760760E+07  0.340954E+01
  0.135056E-01  0.141416E+08  0.141255E+08 -0.186226E+04 -0.186297E+04  0.000000E+00  0.141391E+08  0.141391E+08  0.141391E+08 -0.335934E+00  0.746660E+07  0.746646E+07  0.350440E+01
  0.141981E-01  0.138653E+08  0.138478E+08 -0.165209E+04 -0.165272E+04  0.000000E+00  0.138626E+08  0.138626E+08  0.138626E+08 -0.329364E+00  0.732059E+07  0.732044E+07  0.359709E+01
  0.149260E-01  0.135797E+08  0.135608E+08 -0.146406E+04 -0.146461E+04  0.000000E+00  0.135768E+08  0.135768E+08  0.135768E+08 -0.322573E+00  0.716965E+07  0.716949E+07  0.368675E+01
  0.156913E-01  0.132848E+08  0.132643E+08 -0.129594E+04 -0.129643E+04  0.000000E+00  0.132816E+08  0.132816E+08  0.132816E+08 -0.315560E+00  0.701378E+07  0.701360E+07  0.377239E+01
  0.164958E-01  0.129805E+08  0.129584E+08 -0.114573E+04 -0.114616E+04  0.000000E+00  0.129771E+08  0.129771E+08  0.129771E+08 -0.308324E+00  0.685296E+07  0.685277E+07  0.385288E+01
  0.173415E-01  0.126669E+08  0.126431E+08 -0.101163E+04 -0.101201E+04  0.000000E+00  0.126632E+08  0.126632E+08  0.126632E+08 -0.300868E+00  0.668723E+07  0.668703E+07  0.392699E+01
  0.182307E-01  0.123442E+08  0.123186E+08 -0.892017E+03 -0.892355E+03  0.000000E+00  0.123402E+08  0.123402E+08  0.123402E+08 -0.293194E+00  0.651667E+07  0.651645E+07  0.399333E+01
  0.191654E-01  0.120126E+08  0.119851E+08 -0.785424E+03 -0.785721E+03  0.000000E+00  0.120083E+08  0.120083E+08  0.120083E+08 -0.285308E+00  0.634139E+07  0.634115E+07  0.405039E+01
  0.201480E-01  0.116723E+08  0.116430E+08 -0.690530E+03 -0.690791E+03  0.000000E+00  0.116678E+08  0.116678E+08  0.116678E+08 -0.277217E+00  0.616155E+07  0.616131E+07  0.409654E+01
  0.211810E-01  0.113239E+08  0.112926E+08 -0.606146E+03 -0.606375E+03  0.000000E+00  0.113190E+08  0.113190E+08  0.113190E+08 -0.268931E+00  0.597740E+07  0.597714E+07  0.413000E+01
  0.222670E-01  0.109679E+08  0.109347E+08 -0.531202E+03 -0.531403E+03  0.000000E+00  0.109627E+08  0.109627E+08  0.109627E+08 -0.260466E+00  0.578924E+07  0.578897E+07  0.414892E+01
