# Number of random galaxies used: 163572.317361
# theta
# rr
# G_p
# theta rr G_p
0.00010120429215 714.0 0.0110794239237
0.000103641898022 726.0 0.0110006806048
0.00010613820632 836.0 0.0123695305308
0.000108694643131 882.0 0.0127432178134
0.000111312656372 920.0 0.0129796330833
0.000113993723062 856.0 0.0117926533684
0.000116739363875 980.0 0.0131833960699
0.000119551143143 914.0 0.0120063563632
0.000122430647025 1088.0 0.0139558795227
0.000125379534438 1156.0 0.0144790399734
0.00012839944975 1194.0 0.0146036133769
0.00013149206643 1136.0 0.0135673713473
0.000134659188916 1318.0 0.0153708496146
0.00013790257799 1266.0 0.0144171931895
0.000141224096296 1398.0 0.0155459176716
0.000144625606481 1486.0 0.0161359161196
0.000148109043948 1670.0 0.0177073357043
0.000151676387759 1678.0 0.0173737213166
0.000155329646077 1696.0 0.0171470750632
0.000159070914378 1842.0 0.0181851545375
0.000162902288139 1962.0 0.0189142957198
0.000166825935594 1986.0 0.0186953710616
0.000170844083186 2036.0 0.0187153158141
0.000174959030119 2126.0 0.019082907181
0.000179173075594 2312.0 0.0202644203004
0.00018348863523 2296.0 0.0196508052618
0.000187908182852 2462.0 0.0205755584406
0.000192434177734 2682.0 0.0218874192647
0.000197069137357 2664.0 0.021229223343
0.000201815724722 2914.0 0.0226753643968
0.000206676631933 3090.0 0.0234793133685
0.000211654638406 3292.0 0.0244259154163
0.000216752538108 3288.0 0.0238224160959
0.000221973226871 3772.0 0.0266863797544
0.000227319658734 3622.0 0.0250224587267
0.000232794875046 3866.0 0.0260799344944
0.000238401946262 4094.0 0.0269685433268
0.000244144088356 4444.0 0.028585463578
0.0002500245173 4672.0 0.0293454053518
0.000256046594586 4874.0 0.029894086991
0.00026221369626 4876.0 0.0292029849615
0.000268529343884 5206.0 0.0304460130189
0.000274997146334 5396.0 0.0308149681918
0.000281620712485 5620.0 0.031339376687
0.000288403825834 5846.0 0.0318328906001
0.00029535026988 6446.0 0.0342745601178
0.000302464148263 6598.0 0.0342568426961
0.000309749273583 6738.0 0.0341624714918
0.000317209865898 7068.0 0.0349911152948
0.000324850261677 7502.0 0.036267131655
0.000332674593665 7580.0 0.0357822572294
0.000340687343851 8492.0 0.0391446735748
0.00034889311064 8666.0 0.0390072412869
0.000357296550646 9174.0 0.0403226042563
0.000365902378689 9586.0 0.0411424221958
0.000374715484213 9826.0 0.0411807222529
0.000383740814868 10568.0 0.0432488077568
0.000392983580241 11128.0 0.0444693612655
0.000402448960813 11492.0 0.0448438885667
0.000412142311689 11808.0 0.0449932243887
0.000422069279011 12832.0 0.0477440618001
0.000432235188782 13606.0 0.0494355143624
0.000442645978183 13924.0 0.0493987464845
0.000453307642601 15006.0 0.0519864877255
0.000464226002805 15412.0 0.0521372986984
0.000475407287013 16108.0 0.0532100975362
0.000486857927172 16796.0 0.0541779513954
0.000498584355228 17736.0 0.0558643919981
0.000510593235958 18370.0 0.0565004986727
0.000522891350556 19522.0 0.0586315925087
0.00053548568394 20730.0 0.0607954576777
0.000548383337446 21316.0 0.0610435902947
0.000561591645237 22918.0 0.0640875515751
0.000575118116103 23338.0 0.063727259246
0.000588970375247 24886.0 0.0663559493369
0.000603156280704 25890.0 0.0674094431959
0.00061768386513 27176.0 0.0690938409782
0.000632561277598 28724.0 0.0713116552184
0.000647797132842 29994.0 0.0727133826021
0.000663399929181 31388.0 0.0743030084827
0.000679378514178 32900.0 0.0760505763092
0.000695741968229 35004.0 0.0790112035307
